filename,start,end
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0094.V5_1.nc,1995-04-03T07:49:49.0,1995-04-13T05:47:27.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0095.V5_1.nc,1995-04-13T05:48:20.0,1995-04-23T03:45:58.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0096.V5_1.nc,1995-04-23T03:46:52.0,1995-05-03T01:44:29.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0097.V5_1.nc,1995-05-03T01:45:22.0,1995-05-12T23:43:00.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0098.V5_1.nc,1995-05-12T23:43:53.0,1995-05-22T21:41:31.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0099.V5_1.nc,1995-05-22T21:42:24.0,1995-06-01T19:40:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0100.V5_1.nc,1995-06-01T19:40:57.0,1995-06-11T17:38:34.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0101.V5_1.nc,1995-06-11T17:39:29.0,1995-06-21T15:37:08.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0102.V5_1.nc,1995-06-21T15:38:01.0,1995-07-01T13:35:40.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0103.V5_1.nc,1995-07-01T13:36:33.0,1995-07-11T11:34:11.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0104.V5_1.nc,1995-07-11T11:35:05.0,1995-07-21T09:32:43.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0105.V5_1.nc,1995-07-21T09:33:36.0,1995-07-31T07:31:14.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0106.V5_1.nc,1995-07-31T07:32:08.0,1995-08-10T05:29:46.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0107.V5_1.nc,1995-08-10T05:30:39.0,1995-08-20T03:28:17.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0108.V5_1.nc,1995-08-20T03:29:10.0,1995-08-30T01:26:48.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0109.V5_1.nc,1995-08-30T01:27:42.0,1995-09-08T23:25:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0110.V5_1.nc,1995-09-08T23:26:13.0,1995-09-18T21:23:51.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0111.V5_1.nc,1995-09-18T21:24:44.0,1995-09-28T19:22:22.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0112.V5_1.nc,1995-09-28T19:23:16.0,1995-10-08T17:20:54.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0113.V5_1.nc,1995-10-08T17:21:47.0,1995-10-18T15:19:26.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0114.V5_1.nc,1995-10-18T15:20:19.0,1995-10-28T13:17:56.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0115.V5_1.nc,1995-10-28T13:18:51.0,1995-11-07T11:16:29.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0116.V5_1.nc,1995-11-07T11:17:22.0,1995-11-17T09:15:00.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0117.V5_1.nc,1995-11-17T09:15:54.0,1995-11-26T08:44:28.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0118.V5_1.nc,1995-12-07T03:19:42.9,1995-12-07T05:12:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0119.V5_1.nc,1995-12-07T05:12:55.9,1995-12-17T03:10:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0120.V5_1.nc,1995-12-17T03:11:27.0,1995-12-27T01:09:05.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0121.V5_1.nc,1995-12-27T03:01:37.0,1996-01-05T23:07:35.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0122.V5_1.nc,1996-01-05T23:08:28.0,1996-01-15T21:06:05.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0123.V5_1.nc,1996-01-15T21:06:59.0,1996-01-25T19:04:39.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0124.V5_1.nc,1996-01-25T19:05:32.0,1996-02-04T17:03:10.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0125.V5_1.nc,1996-02-04T17:04:05.0,1996-02-14T15:01:43.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0126.V5_1.nc,1996-02-14T15:02:37.0,1996-02-24T13:00:14.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0127.V5_1.nc,1996-02-24T13:01:09.0,1996-03-05T10:58:47.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0128.V5_1.nc,1996-03-05T10:59:39.9,1996-03-15T08:57:19.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0129.V5_1.nc,1996-03-15T08:58:12.0,1996-03-25T06:55:50.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0130.V5_1.nc,1996-03-25T06:56:43.9,1996-04-04T04:54:22.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0131.V5_1.nc,1996-04-04T04:55:15.0,1996-04-14T02:52:53.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0132.V5_1.nc,1996-04-14T02:53:47.0,1996-04-24T00:51:25.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0133.V5_1.nc,1996-04-24T00:52:18.0,1996-05-03T22:49:57.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0134.V5_1.nc,1996-05-03T22:50:50.0,1996-05-13T20:48:28.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0135.V5_1.nc,1996-05-13T20:49:21.0,1996-05-23T18:47:00.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0136.V5_1.nc,1996-05-23T18:47:53.0,1996-06-02T16:45:30.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0137.V5_1.nc,1996-06-02T16:46:25.0,1996-06-12T14:44:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0138.V5_1.nc,1996-06-12T14:44:56.0,1996-06-22T12:42:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0139.V5_1.nc,1996-06-22T12:43:27.9,1996-07-02T10:41:06.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0140.V5_1.nc,1996-07-02T10:41:59.0,1996-07-12T08:39:37.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0141.V5_1.nc,1996-07-12T08:40:30.0,1996-07-22T06:38:07.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0142.V5_1.nc,1996-07-22T06:39:01.0,1996-08-01T04:36:39.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0143.V5_1.nc,1996-08-01T04:37:32.0,1996-08-11T02:35:10.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0144.V5_1.nc,1996-08-11T02:36:03.0,1996-08-21T00:33:41.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0145.V5_1.nc,1996-08-21T00:34:35.0,1996-08-30T22:32:13.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0146.V5_1.nc,1996-08-30T22:33:06.0,1996-09-09T20:30:44.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0147.V5_1.nc,1996-09-09T20:31:38.0,1996-09-19T10:59:38.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0148.V5_1.nc,1996-09-20T03:51:30.0,1996-09-29T16:27:46.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0149.V5_1.nc,1996-09-29T16:28:41.0,1996-10-09T14:26:19.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0150.V5_1.nc,1996-10-09T14:27:12.9,1996-10-19T12:24:50.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0151.V5_1.nc,1996-10-19T12:25:43.9,1996-10-29T10:23:22.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0152.V5_1.nc,1996-10-29T10:24:16.0,1996-11-08T08:21:54.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0153.V5_1.nc,1996-11-08T08:22:47.0,1996-11-18T06:20:25.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0154.V5_1.nc,1996-11-18T06:21:18.0,1996-11-28T04:18:56.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0155.V5_1.nc,1996-11-28T04:19:50.0,1996-12-08T02:17:28.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0156.V5_1.nc,1996-12-08T02:18:21.0,1996-12-18T00:15:59.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0157.V5_1.nc,1996-12-18T00:16:52.9,1996-12-27T22:14:31.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0158.V5_1.nc,1996-12-27T22:15:24.0,1997-01-06T20:13:02.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0159.V5_1.nc,1997-01-06T20:13:56.0,1997-01-16T18:11:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0160.V5_1.nc,1997-01-16T18:12:28.0,1997-01-26T16:10:06.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0161.V5_1.nc,1997-01-26T16:11:00.0,1997-02-05T14:08:38.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0162.V5_1.nc,1997-02-05T14:09:31.0,1997-02-15T12:07:10.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0163.V5_1.nc,1997-02-15T12:08:03.0,1997-02-25T10:05:41.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0164.V5_1.nc,1997-02-25T10:06:35.0,1997-03-07T08:04:13.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0165.V5_1.nc,1997-03-07T08:05:06.0,1997-03-17T06:02:45.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0166.V5_1.nc,1997-03-17T06:03:38.0,1997-03-27T04:01:16.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0167.V5_1.nc,1997-03-27T04:02:10.0,1997-04-06T01:59:48.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0168.V5_1.nc,1997-04-06T02:00:41.9,1997-04-15T23:58:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0169.V5_1.nc,1997-04-15T23:59:13.0,1997-04-25T21:56:51.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0170.V5_1.nc,1997-04-25T21:57:45.0,1997-05-05T19:55:23.0
